titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
EL AMOR Y LA CIUDAD,TERESA CONSTANTINI,2005-04-28,2005-04-28,EXTERIEUR,RUE,DU ROI DE SICILE,75004,RUE DU ROI DE SICILE 75004 Paris France,48.856133, 2.358634,
COMME TOUT LE MONDE,PIERRE-PAUL RENDERS,2005-05-23,2005-05-23,EXTERIEUR,PLACE,DE L'OPERA - TERRE-PLEIN (FACE OPERA),75009,PLACE DE L'OPERA - TERRE-PLEIN (FACE OPERA) 75009 Paris France,48.872022, 2.331743,
L'IVRESSE DU POUVOIR/LA COMEDIE DU POUVOIR,CLAUDE CHABROL,2005-05-30,2005-05-30,EXTERIEUR,BOULEVARD,ARAGO,75014,BOULEVARD ARAGO 75014 Paris France,48.834624, 2.337211,
QUI M'AIME ME SUIVE/HELAS & HOURRA !,BENOIT COHEN,2005-05-07,2005-05-07,EXTERIEUR,BOULEVARD,SAINT MICHEL,75005,BOULEVARD SAINT MICHEL 75005 Paris France,48.847022, 2.340688,
QUI M'AIME ME SUIVE/HELAS & HOURRA !,BENOIT COHEN,2005-06-15,2005-06-15,EXTERIEUR,RUE,DU MARCHE,75004,RUE DU MARCHE 75004 Paris France,48.858175, 2.358157,
QUI M'AIME ME SUIVE/HELAS & HOURRA !,BENOIT COHEN,2005-06-15,2005-06-15,EXTERIEUR,RUE,DE BRETAGNE,75003,RUE DE BRETAGNE 75003 Paris France,48.863247, 2.361856,
J'INVENTE RIEN,MICHEL LECLERC,2005-06-28,2005-06-28,EXTERIEUR,RUE,STENDHAL,75020,RUE STENDHAL 75020 Paris France,48.861569, 2.401742,
DU JOUR AU LENDEMAIN,PHILIPPE LE GUAY,2005-03-06,2005-03-06,EXTERIEUR,RUE,DE RENNES/R COETLOGON/ANGLE,75006,RUE DE RENNES/R COETLOGON/ANGLE 75006 Paris France,48.850531, 2.332233,
DA VINCI CODE,RON HOWARD,2005-12-07,2005-12-07,EXTERIEUR,BERGES,DE LA SEINE,75001,BERGES DE LA SEINE 75001 Paris France,48.827085, 2.374209,
ORGANISATION,JEAN-MARC MOUTOUT,2002-09-26,2002-09-26,EXTERIEUR,QUAI,DE BOURBON ET BERGES,75004,QUAI DE BOURBON ET BERGES 75004 Paris France,48.853428, 2.358279,
ORGANISATION,JEAN-MARC MOUTOUT,2002-01-10,2002-01-10,EXTERIEUR,RUE,JACQUES IBERT,75017,RUE JACQUES IBERT 75017 Paris France,48.888489, 2.289675,
BLIND DATE,HAIM BOUZAGLO,2002-04-10,2002-04-10,EXTERIEUR,AVENUE,VICTOR HUGO,75016,AVENUE VICTOR HUGO 75016 Paris France,48.868405, 2.282084,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-24,2004-04-24,EXTERIEUR,COURS,LA REINE,75008,COURS LA REINE 75008 Paris France,48.864827, 2.3142,
UN AMOUR DESASTREUX,KARA YOURI,2004-04-26,2004-04-26,EXTERIEUR,COURS,LA REINE,75008,COURS LA REINE 75008 Paris France,48.864827, 2.3142,
